,0
paymentmethod_electronic check,0.6540956695070829
paymentmethod_credit card,0.63059046963108
high_value_customer,0.2858162659908396
cost_efficiency,0.0008038114297820945
paperlessbilling,0.0
long_term_customer,0.0
avg_monthly_value,-0.014690573186527346
totalcharges,-0.06165327324020414
seniorcitizen,-0.0796594248363826
monthlycharges,-0.08769354559840388
charges_per_tenure,-0.5712099104332489
contract_two year,-1.2411238921254995
contract_one year,-1.5777913388441067
tenure,-3.5516328697398345
